profile,userid,genres.Action,genres.Adventure,genres.Comedy,genres.Demons,genres.Drama,genres.Fantasy,genres.Game,genres.Historical,genres.Horror,genres.Magic,genres.Mecha,genres.Military,genres.Music,genres.Mystery,genres.Parody,genres.Police,genres.Psychological,genres.Romance,genres.School,genres.Sci-Fi,genres.Seinen,genres.Shoujo,genres.Shounen,genres.Slice of Life,genres.Space,genres.Sports,genres.Super Power,genres.Supernatural,genres.Thriller
Kimi7ko,6532,62,24,19,3,12,21,4,3,0,12,12,8,0,4,1,1,1,5,4,23,4,1,19,0,3,0,7,7,0
Coolingheaded,6533,35,14,48,3,26,5,0,9,4,4,4,4,1,14,3,1,10,13,15,17,92,0,0,25,4,7,4,17,2
GrimReapez,6534,11,10,34,2,35,15,2,6,1,10,2,1,7,3,0,2,0,72,22,12,7,13,6,9,2,1,3,7,1
Doctor_Robotnik,6535,46,17,11,2,10,11,2,3,3,2,8,3,0,5,0,0,2,4,1,17,3,0,7,1,3,3,1,5,2
amzshow,6536,19,46,19,2,7,23,1,6,0,2,11,7,1,2,0,1,0,10,0,15,0,2,11,0,7,0,2,2,0
longlivelink,6537,34,24,19,1,88,17,0,10,8,4,13,18,5,5,0,2,3,18,2,25,10,8,12,14,9,4,2,12,1
jikayoshi,6538,11,10,21,4,24,8,0,2,1,5,2,1,4,5,0,0,2,50,14,8,2,11,6,6,0,1,1,9,0
Jts355,6539,13,3,38,1,15,5,0,0,1,3,2,3,8,3,3,0,2,22,72,8,7,5,11,17,1,10,2,6,2
TRI_Mike,6540,10,8,17,2,15,5,2,4,0,7,6,4,3,1,0,0,1,44,10,11,4,10,4,8,2,1,2,6,1
rattrapwasright,6541,1,2,50,2,25,4,0,4,0,4,1,1,10,0,0,1,1,10,24,4,8,7,9,91,0,5,1,6,0
spread-the-peas,6542,15,20,89,3,10,17,1,2,2,7,10,2,3,4,5,2,1,11,9,11,9,2,22,20,2,7,0,6,0
MTYMAC,6543,17,35,7,0,7,20,2,1,1,5,7,2,0,2,0,0,0,5,0,11,1,2,7,0,1,0,1,4,0
killa313,6544,40,11,9,3,12,6,2,2,1,2,8,6,0,2,1,0,0,1,1,16,2,0,7,1,5,2,5,6,1
su0lubafmai,6545,53,13,11,1,12,12,5,2,5,5,15,8,2,4,0,1,2,4,1,26,4,1,12,0,10,3,3,6,0
singmetoshleep,6546,32,9,53,2,13,6,2,7,6,2,3,4,0,13,1,2,4,13,18,16,97,0,0,39,4,1,5,13,1
thewind,6547,12,11,31,4,25,11,0,5,2,6,3,7,4,1,1,0,1,68,24,12,7,13,10,14,2,6,0,11,0
Nineee,6548,16,5,36,0,21,1,0,0,0,0,1,1,2,0,2,0,1,5,22,6,9,1,44,5,0,97,3,0,0
ShadowOfWar,6549,1,1,3,0,2,5,0,2,0,0,1,2,43,1,0,0,0,3,3,5,0,2,0,5,1,0,0,0,0
Kitzo,6550,16,12,77,3,5,7,0,2,0,6,2,1,1,3,8,1,0,11,13,7,9,2,17,17,1,5,0,6,0
MarshmallowBear,6551,15,18,96,9,9,16,1,6,2,6,4,1,5,7,8,1,1,20,14,9,6,6,25,15,1,7,3,16,0
NotSoDeadZombie,6552,11,10,57,1,5,9,1,3,1,6,1,1,0,3,3,0,0,5,7,9,4,5,10,9,0,4,4,4,0
Jaybeatx,6553,5,3,1,1,5,11,2,3,0,2,1,1,62,0,0,0,1,4,3,3,0,6,2,4,1,1,0,0,0
junglin7,6554,14,14,15,6,22,17,1,60,1,4,2,8,0,1,3,0,0,12,0,3,4,3,2,7,0,1,1,7,0
salutshorts,6555,2,2,6,0,6,6,1,1,1,0,1,0,79,0,0,0,0,2,4,4,1,5,0,6,1,3,1,4,0
Mythologically,6556,11,10,48,2,7,8,0,0,1,3,3,1,3,1,5,1,0,4,4,11,6,4,8,6,2,3,3,5,0
Kanashimi_Jigoku,6557,8,3,9,0,3,7,3,1,1,2,3,2,96,1,4,0,0,5,7,4,1,5,1,15,2,1,0,3,0
Gertwor,6558,15,18,44,5,34,15,1,6,6,10,7,4,2,2,2,2,1,84,22,14,6,16,13,18,3,2,2,11,0
henosis,6559,21,11,20,3,57,12,0,12,3,4,7,4,2,2,1,3,2,19,6,14,7,5,13,11,5,5,3,5,2
delatia,6560,23,15,6,8,10,11,0,1,59,2,4,3,1,14,1,2,10,4,3,9,3,2,8,0,1,0,0,25,4
OnayaW,6561,9,10,16,1,22,9,1,2,2,3,2,4,1,5,0,1,1,51,17,8,2,12,8,10,3,4,0,8,1
3693kayla,6562,43,25,25,0,28,10,1,2,2,2,40,22,4,5,2,5,2,10,4,97,7,1,21,4,25,0,6,2,1
Elfezen,6563,56,27,30,2,17,7,2,1,1,3,34,16,7,5,4,5,5,14,5,99,6,1,21,1,20,2,7,5,2
Zell182,6564,47,12,13,0,16,3,0,1,0,1,69,20,2,1,5,5,3,9,1,56,2,0,16,2,18,1,2,1,0
makusaki1337,6565,17,15,18,3,8,29,2,2,0,42,1,2,1,1,1,0,0,8,3,4,0,7,15,5,0,0,2,8,0
catcupcakes,6566,14,11,94,3,12,11,2,4,0,8,4,3,4,2,6,0,1,10,21,12,10,8,15,24,2,5,4,6,0
poetification,6567,41,24,22,80,15,34,1,18,10,12,1,2,0,10,0,1,1,8,3,5,2,13,28,10,0,0,8,53,2
rensou-kun,6568,1,1,37,0,15,6,1,2,0,2,1,0,6,0,1,0,0,8,19,3,7,3,6,66,1,1,0,4,0
Lost_Kitten,6569,21,18,17,2,4,54,4,5,1,16,1,2,6,2,2,0,0,3,2,4,1,6,5,6,0,0,0,11,0
Taka88,6570,3,1,4,0,5,7,2,0,0,1,2,0,49,1,2,0,0,2,5,4,0,1,1,8,0,0,1,0,0
lastmann,6571,7,5,36,0,7,8,0,1,0,1,3,3,2,1,7,1,0,6,3,4,3,1,9,5,0,3,1,3,0
Jopageri,6572,36,44,30,2,10,99,3,4,1,31,4,2,5,1,2,0,1,9,3,10,0,11,18,4,1,0,4,8,1
gnomefactor,6573,16,5,35,0,9,1,1,7,0,3,0,1,1,8,3,1,5,8,9,6,58,0,0,11,0,5,5,10,4
Gabisu,6574,4,2,36,1,0,5,1,4,3,4,4,0,0,2,45,0,0,2,6,5,1,1,0,4,1,1,2,4,0
Nick9502,6575,17,12,40,3,34,16,1,5,4,11,2,6,3,3,1,2,4,82,20,12,4,17,9,10,2,1,3,15,1
Honorable-Stigma,6576,9,12,51,0,1,11,1,2,4,1,3,1,2,3,11,2,0,5,4,9,5,1,8,9,1,1,0,3,1
__g,6577,18,16,86,0,8,11,1,3,0,7,6,2,6,4,6,0,0,12,9,12,13,4,13,15,1,7,1,8,0
Cake-chan101,6578,16,8,6,2,34,10,5,1,14,2,10,3,3,22,0,8,74,8,3,24,11,5,7,1,3,1,2,13,14
TenothOfficial,6579,25,16,8,1,10,7,0,1,2,3,18,4,2,2,1,3,4,3,3,53,2,0,9,4,7,3,5,5,0
FreshhCOX,6580,34,22,32,8,12,17,2,6,2,6,9,1,1,5,1,0,2,5,12,19,0,0,71,3,2,13,2,19,0
Ubercook,6581,18,15,68,1,9,10,0,3,2,4,2,0,5,4,10,5,1,5,7,11,3,2,18,7,0,10,4,4,0
butterflystudios,6582,3,2,3,2,3,5,1,0,2,3,1,2,45,0,2,0,1,2,6,6,0,1,0,6,1,0,0,2,0
brixdan,6583,7,7,35,2,6,9,0,0,1,2,0,0,3,0,3,0,0,5,7,3,5,3,3,9,0,2,2,6,0
sugarplumfairy,6584,3,1,19,0,12,0,0,0,0,0,3,0,1,0,2,0,0,4,14,3,3,1,23,1,0,45,2,0,0
Simunator,6585,6,0,37,0,11,4,0,1,0,6,2,3,8,1,3,0,0,21,68,4,6,11,10,21,1,8,1,6,0
didannl,6586,15,8,16,4,9,7,1,1,7,7,1,0,0,6,1,0,4,9,3,5,5,4,9,9,0,0,3,38,3
azumue,6587,12,11,46,1,7,10,2,3,0,2,1,1,2,1,3,0,0,5,5,4,2,2,11,10,3,0,1,3,0
Jfgdnrysjfir,6588,14,14,35,2,24,11,2,8,2,5,3,3,5,5,2,1,1,75,21,13,7,15,9,10,3,1,1,7,1
Viva_La_Pluto,6589,8,11,39,1,2,7,1,0,1,5,2,1,0,1,7,1,1,1,2,7,3,3,10,5,0,2,1,7,0
beastfromsea,6590,34,94,27,2,21,38,4,7,2,12,8,2,1,7,2,3,1,6,2,24,4,2,34,1,6,0,4,12,0
Darreal,6591,41,37,31,3,13,87,3,8,2,24,4,2,3,1,2,0,0,8,6,9,4,6,21,9,0,0,5,14,0
SpicyWolfHoro,6592,2,2,8,0,6,9,2,0,0,3,2,1,80,0,1,0,2,1,1,6,0,2,0,8,1,1,2,1,0
PepperShaker64,6593,9,14,33,1,29,16,0,9,2,7,5,8,6,6,0,1,2,77,16,16,5,18,8,13,6,1,1,7,0
verytiredboi,6594,6,4,13,2,14,6,0,4,0,5,3,1,5,2,0,0,0,42,10,6,2,13,3,1,0,0,2,2,1
GrumpyBC,6595,14,14,6,6,3,40,4,2,0,8,0,2,2,2,0,1,1,5,1,4,1,4,7,1,0,0,0,7,0
Green_good_guy,6596,14,15,14,4,9,48,1,2,1,13,0,1,2,1,2,0,0,8,2,6,3,5,7,6,0,0,3,6,0
wildmonkey99,6597,2,1,9,0,8,3,0,1,0,3,0,0,59,0,0,0,1,5,5,3,2,4,1,9,0,0,0,6,0
Khamazandu,6598,62,20,10,4,36,13,3,12,1,2,46,99,4,1,5,1,4,17,9,61,3,1,13,3,29,2,5,1,0
Anime_Pro2003,6599,10,12,74,0,10,10,2,3,1,6,4,2,4,1,4,0,1,9,9,10,8,4,16,16,1,6,1,6,1
